# Notifications Vendor Sources

# Format:
# <local_filename> | <url> | <fetched_utc_iso8601> | <notes>

notification-spec-latest.html | https://specifications.freedesktop.org/notification-spec/latest/ | 2026-02-25T10:12:38Z | fetched via scripts/fetch_vendor_spec.sh
notification-index.html | https://specifications.freedesktop.org/notification-spec/latest/index.html | 2026-02-25T10:12:39Z | fetched via scripts/fetch_vendor_spec.sh
notification-basic-design.html | https://specifications.freedesktop.org/notification-spec/latest/basic-design.html | 2026-02-25T10:12:41Z | fetched via scripts/fetch_vendor_spec.sh
notification-backwards-compat.html | https://specifications.freedesktop.org/notification-spec/latest/backwards-compat.html | 2026-02-25T10:12:42Z | fetched via scripts/fetch_vendor_spec.sh
notification-markup.html | https://specifications.freedesktop.org/notification-spec/latest/markup.html | 2026-02-25T10:12:43Z | fetched via scripts/fetch_vendor_spec.sh
notification-icons-and-images.html | https://specifications.freedesktop.org/notification-spec/latest/icons-and-images.html | 2026-02-25T10:12:45Z | fetched via scripts/fetch_vendor_spec.sh
notification-categories.html | https://specifications.freedesktop.org/notification-spec/latest/categories.html | 2026-02-25T10:12:46Z | fetched via scripts/fetch_vendor_spec.sh
notification-urgency-levels.html | https://specifications.freedesktop.org/notification-spec/latest/urgency-levels.html | 2026-02-25T10:12:47Z | fetched via scripts/fetch_vendor_spec.sh
notification-hints.html | https://specifications.freedesktop.org/notification-spec/latest/hints.html | 2026-02-25T10:12:49Z | fetched via scripts/fetch_vendor_spec.sh
notification-protocol.html | https://specifications.freedesktop.org/notification-spec/latest/protocol.html | 2026-02-25T10:12:50Z | fetched via scripts/fetch_vendor_spec.sh
